# x_m,y_m,w_tr_right_m,w_tr_left_m
-330.008619,-440.577422,5.206,5.627
-331.429171,-445.411984,5.201,5.508
-333.469056,-449.998290,5.316,5.534
-336.091114,-454.249979,5.326,5.637
-339.251107,-458.084544,5.138,5.786
-342.904824,-461.418635,4.950,5.936
-347.009747,-464.118666,5.051,5.919
-351.525062,-465.979146,5.239,5.791
-356.359065,-467.106638,5.456,5.489
-361.343613,-468.060008,5.673,5.187
-366.309987,-469.188332,5.846,5.564
-371.092478,-470.711152,6.060,6.007
-375.525489,-472.846705,6.893,6.285
-379.478760,-475.726334,7.726,6.563
-382.912188,-479.259696,8.274,7.233
-385.799841,-483.321604,8.774,7.971
-388.117270,-487.787208,9.300,8.689
-389.865636,-492.537443,9.907,9.344
-391.053402,-497.455390,10.514,9.999
-391.447441,-502.377857,11.003,10.186
-390.702347,-507.123422,11.408,10.048
-388.849599,-511.596943,10.604,10.506
-386.095412,-515.759753,10.542,10.501
-382.943967,-519.711583,10.640,10.404
-379.766743,-523.576248,10.739,10.307
-376.649156,-527.460996,10.837,10.211
-373.656415,-531.471905,10.935,10.114
-370.827871,-535.680992,11.034,10.017
-368.005248,-539.899929,11.132,9.920
-364.939066,-543.820246,11.230,9.823
-361.393767,-547.150581,11.329,9.727
-357.355615,-549.872896,11.324,9.704
-352.984857,-552.183531,11.297,9.698
-348.446408,-554.284574,11.269,9.693
-343.878179,-556.345237,11.242,9.687
-339.309533,-558.402547,11.214,9.681
-334.742555,-560.460321,11.187,9.676
-330.179301,-562.522324,11.159,9.670
-325.620631,-564.590310,11.132,9.664
-321.065863,-566.663433,11.105,9.659
-316.514211,-568.740676,11.077,9.653
-311.964889,-570.821021,11.050,9.647
-307.417112,-572.903452,11.022,9.642
-302.870094,-574.986952,10.995,9.636
-298.323050,-577.070504,10.967,9.630
-293.775444,-579.153413,10.940,9.625
-289.227272,-581.235679,10.912,9.619
-284.678600,-583.317393,10.885,9.613
-280.129496,-585.398646,10.857,9.608
-275.580026,-587.479528,10.830,9.602
-271.030258,-589.560131,10.802,9.596
-266.480259,-591.640545,10.775,9.590
-261.930095,-593.720861,10.747,9.585
-257.379833,-595.801171,10.720,9.579
-252.829541,-597.881564,10.692,9.573
-248.279285,-599.962133,10.665,9.568
-243.729132,-602.042967,10.638,9.562
-239.179149,-604.124159,10.610,9.556
-234.629404,-606.205797,10.583,9.551
-230.079928,-608.287918,10.555,9.545
-225.530685,-610.370439,10.528,9.539
-220.981627,-612.453262,10.500,9.534
-216.432710,-614.536292,10.473,9.528
-211.883886,-616.619433,10.445,9.522
-207.335109,-618.702586,10.418,9.517
-202.786333,-620.785655,10.390,9.511
-198.237511,-622.868545,10.363,9.505
-193.688597,-624.951158,10.335,9.500
-189.139545,-627.033397,10.308,9.494
-184.590309,-629.115165,10.280,9.488
-180.040841,-631.196367,10.253,9.483
-175.491097,-633.276905,10.225,9.477
-170.941029,-635.356683,10.198,9.471
-166.390591,-637.435604,10.171,9.466
-161.839736,-639.513572,10.143,9.460
-157.288420,-641.590489,10.116,9.454
-152.736594,-643.666259,10.088,9.448
-148.184213,-645.740785,10.061,9.443
-143.631231,-647.813971,10.033,9.437
-139.077601,-649.885720,10.006,9.431
-134.523276,-651.955935,9.978,9.426
-129.968211,-654.024519,9.951,9.420
-125.412359,-656.091377,9.923,9.414
-120.855674,-658.156410,9.896,9.409
-116.298110,-660.219524,9.868,9.403
-111.739620,-662.280620,9.841,9.397
-107.180157,-664.339602,9.813,9.392
-102.619684,-666.396390,9.786,9.386
-98.058210,-668.451005,9.758,9.380
-93.495763,-670.503507,9.731,9.367
-88.932371,-672.553956,9.702,9.346
-84.368063,-674.602412,9.674,9.325
-79.802868,-676.648936,9.646,9.304
-75.236813,-678.693588,9.618,9.283
-70.669927,-680.736428,9.589,9.262
-66.102238,-682.777516,9.561,9.241
-61.533775,-684.816913,9.533,9.220
-56.964566,-686.854679,9.505,9.199
-52.394639,-688.890874,9.477,9.178
-47.824022,-690.925558,9.448,9.157
-43.252745,-692.958792,9.420,9.136
-38.680834,-694.990635,9.392,9.115
-34.108319,-697.021148,9.364,9.094
-29.535228,-699.050392,9.335,9.073
-24.961590,-701.078425,9.307,9.052
-20.387431,-703.105310,9.279,9.030
-15.812782,-705.131105,9.251,9.009
-11.237670,-707.155872,9.222,8.988
-6.662123,-709.179670,9.194,8.967
-2.086171,-711.202559,9.166,8.946
2.490160,-713.224600,9.138,8.925
7.066840,-715.245854,9.109,8.904
11.643841,-717.266379,9.081,8.883
16.221135,-719.286237,9.053,8.862
20.798693,-721.305488,9.025,8.841
25.376488,-723.324191,8.997,8.820
29.954490,-725.342408,8.968,8.799
34.532672,-727.360199,8.940,8.778
39.111005,-729.377622,8.912,8.757
43.689460,-731.394740,8.884,8.736
48.268010,-733.411612,8.855,8.715
52.846627,-735.428298,8.827,8.694
57.425281,-737.444859,8.799,8.673
62.003944,-739.461355,8.771,8.652
66.582589,-741.477846,8.742,8.631
71.161187,-743.494391,8.714,8.610
75.739709,-745.511053,8.686,8.588
80.318127,-747.527890,8.658,8.567
84.896413,-749.544963,8.629,8.546
89.474538,-751.562332,8.601,8.525
94.052475,-753.580058,8.573,8.504
98.630194,-755.598200,8.545,8.483
103.207668,-757.616819,8.517,8.462
107.784868,-759.635976,8.488,8.441
112.361766,-761.655729,8.460,8.420
116.938333,-763.676140,8.432,8.399
121.514541,-765.697269,8.404,8.378
126.090363,-767.719176,8.375,8.357
130.665769,-769.741922,8.347,8.336
135.240730,-771.765565,8.319,8.315
139.815220,-773.790168,8.291,8.294
144.389209,-775.815789,8.262,8.273
148.962670,-777.842490,8.234,8.252
153.535574,-779.870330,8.206,8.231
158.107915,-781.899391,8.178,8.210
162.679704,-783.929769,8.150,8.189
167.250954,-785.961562,8.121,8.167
171.821680,-787.994869,8.093,8.146
176.391892,-790.029788,8.065,8.125
180.961605,-792.066416,8.037,8.104
185.530831,-794.104853,8.008,8.083
190.099584,-796.145195,7.989,8.062
194.667875,-798.187542,8.055,8.033
199.235719,-800.231992,8.121,8.004
203.803128,-802.278643,8.187,7.975
208.370114,-804.327592,8.252,7.946
212.936692,-806.378939,8.318,7.918
217.502874,-808.432778,8.384,7.889
222.069080,-810.487588,8.450,7.860
226.636838,-812.537401,8.516,7.831
231.207868,-814.575495,8.582,7.802
235.783890,-816.595145,8.648,7.774
240.366623,-818.589630,8.714,7.745
244.957786,-820.552224,8.779,7.716
249.559099,-822.476206,8.845,7.687
254.184309,-824.287275,8.911,7.658
258.905743,-825.581983,8.601,7.780
263.793472,-826.013794,8.011,8.014
268.822417,-825.973377,7.661,7.861
273.925278,-825.790095,7.740,7.256
279.013469,-825.372936,8.322,7.520
283.996476,-824.596160,8.904,7.784
288.702625,-823.245361,9.486,8.048
292.752094,-820.878898,9.405,8.082
295.964046,-817.332371,9.069,8.051
298.719397,-813.198255,9.014,8.191
301.252884,-808.842761,8.960,8.330
303.603652,-804.343842,8.905,8.470
305.804830,-799.770577,8.850,8.610
307.893417,-795.184177,8.765,8.708
309.923269,-790.611612,8.650,8.768
311.952819,-786.070550,8.536,8.828
314.040502,-781.578658,8.422,8.888
316.244751,-777.153605,8.308,8.948
318.624000,-772.813057,8.193,9.008
321.236684,-768.574682,8.082,8.830
324.135707,-764.460644,7.972,8.567
327.330611,-760.528368,7.846,8.317
330.810488,-756.851907,7.651,8.118
334.564311,-753.505416,7.455,7.919
338.581051,-750.563045,7.243,7.727
342.849680,-748.098948,6.820,7.641
347.359168,-746.187277,6.396,7.555
352.096059,-744.896725,6.042,7.401
357.009278,-744.211477,6.066,6.881
362.018144,-744.049194,6.089,6.361
367.041171,-744.325736,5.947,5.963
372.014346,-744.949912,5.665,5.668
376.943922,-745.802185,5.553,5.517
381.853814,-746.755886,5.576,5.480
386.765669,-747.696509,5.600,5.443
391.684482,-748.598923,5.624,5.406
396.607818,-749.477869,5.647,5.369
401.533207,-750.348269,5.671,5.332
406.458182,-751.225045,5.694,5.296
411.380272,-752.123121,5.718,5.259
416.297008,-753.057420,5.742,5.222
421.206361,-754.039940,5.765,5.185
426.112657,-755.040469,5.789,5.148
431.024992,-755.997078,5.812,5.111
435.952584,-756.847063,5.836,5.074
440.901826,-757.538362,5.860,5.037
445.868264,-758.059858,5.868,5.031
450.844830,-758.410278,5.811,5.157
455.824663,-758.588813,5.754,5.282
460.807991,-758.610752,5.696,5.408
465.803825,-758.511323,5.639,5.533
470.821720,-758.326994,5.647,5.500
475.863253,-758.073853,5.697,5.363
480.875012,-757.627581,5.746,5.262
485.780420,-756.804706,5.794,5.192
490.503079,-755.422260,5.841,5.122
495.006445,-753.407382,5.805,5.189
499.336539,-750.915292,5.768,5.257
503.549631,-748.129521,5.716,5.320
507.694143,-745.221062,5.602,5.369
511.716597,-742.198074,5.488,5.417
515.492293,-738.954909,5.524,5.353
518.898001,-735.386268,5.781,5.125
521.901058,-731.469651,5.962,4.960
524.574548,-727.279236,5.900,4.999
526.997538,-722.894674,5.838,5.039
529.233007,-718.387869,5.776,5.078
531.240622,-713.780994,5.714,5.118
532.939223,-709.076564,5.698,5.164
534.247809,-704.277112,5.689,5.212
535.117439,-699.392969,5.718,5.237
535.561677,-694.449672,5.815,5.225
535.601301,-689.474510,5.913,5.213
535.257088,-684.494776,5.942,5.162
534.549817,-679.537760,5.955,5.101
533.500266,-674.630754,5.967,5.041
532.129212,-669.801049,5.980,4.980
530.452893,-665.076230,5.931,5.006
528.472398,-660.484861,5.835,5.098
526.185656,-656.055710,5.739,5.189
523.590598,-651.817548,5.717,5.223
520.685155,-647.799142,5.843,5.142
517.467258,-644.029261,5.968,5.061
513.934837,-640.536673,6.094,4.980
510.093052,-637.345129,5.858,5.212
505.988988,-634.449268,5.616,5.450
501.684806,-631.833263,5.421,5.635
497.242469,-629.481377,5.620,5.381
492.704186,-627.387423,5.820,5.126
488.076924,-625.562252,6.019,4.872
483.364009,-624.018471,5.916,5.089
478.570913,-622.756014,5.802,5.325
473.709768,-621.735610,5.711,5.510
468.793984,-620.910423,5.701,5.511
463.836976,-620.233620,5.691,5.512
458.852156,-619.658366,5.681,5.513
453.852936,-619.137827,5.671,5.513
448.852729,-618.625168,5.661,5.514
443.863079,-618.080028,5.651,5.515
438.885231,-617.497687,5.641,5.516
433.916907,-616.885630,5.631,5.517
428.955824,-616.251350,5.621,5.518
423.999701,-615.602344,5.611,5.519
419.046256,-614.946104,5.601,5.520
414.093206,-614.290127,5.591,5.521
409.138415,-613.641419,5.582,5.522
404.181230,-613.001979,5.572,5.523
399.221871,-612.370868,5.562,5.524
394.260570,-611.747105,5.552,5.524
389.297559,-611.129713,5.542,5.525
384.333067,-610.517712,5.532,5.526
379.367328,-609.910124,5.522,5.527
374.400571,-609.305970,5.512,5.528
369.433029,-608.704272,5.502,5.529
364.464932,-608.104050,5.492,5.530
359.496513,-607.504326,5.482,5.531
354.528002,-606.904121,5.472,5.532
349.559631,-606.302457,5.462,5.533
344.591632,-605.698354,5.452,5.534
339.624218,-605.090901,5.442,5.535
334.657456,-604.479836,5.433,5.535
329.691321,-603.865264,5.423,5.536
324.725790,-603.247293,5.413,5.537
319.760841,-602.626035,5.403,5.538
314.796448,-602.001598,5.393,5.539
309.832590,-601.374091,5.383,5.540
304.869242,-600.743624,5.373,5.541
299.906381,-600.110307,5.363,5.542
294.943983,-599.474248,5.353,5.543
289.982025,-598.835557,5.343,5.544
285.020483,-598.194344,5.333,5.545
280.059335,-597.550718,5.323,5.546
275.098556,-596.904789,5.313,5.546
270.138122,-596.256665,5.303,5.547
265.178012,-595.606456,5.305,5.553
260.218200,-594.954272,5.306,5.558
255.258664,-594.300222,5.308,5.564
250.299379,-593.644415,5.310,5.569
245.340323,-592.986961,5.311,5.574
240.381473,-592.327970,5.313,5.580
235.422803,-591.667550,5.315,5.585
230.464292,-591.005811,5.316,5.591
225.505915,-590.342862,5.318,5.596
220.547650,-589.678814,5.320,5.602
215.589471,-589.013774,5.321,5.607
210.631357,-588.347853,5.323,5.613
205.673284,-587.681161,5.325,5.618
200.715228,-587.013805,5.326,5.624
195.757175,-586.345866,5.328,5.629
190.799125,-585.677378,5.330,5.634
185.841080,-585.008374,5.331,5.640
180.883041,-584.338884,5.333,5.645
175.925008,-583.668942,5.334,5.651
170.966984,-582.998578,5.336,5.656
166.008969,-582.327823,5.338,5.662
161.050965,-581.656711,5.339,5.667
156.092972,-580.985272,5.341,5.673
151.134993,-580.313537,5.343,5.678
146.177028,-579.641540,5.344,5.683
141.219078,-578.969311,5.346,5.689
136.261145,-578.296882,5.348,5.694
131.303229,-577.624284,5.349,5.700
126.345333,-576.951550,5.351,5.705
121.387457,-576.278711,5.353,5.711
116.429602,-575.605799,5.354,5.716
111.471770,-574.932845,5.356,5.722
106.513962,-574.259881,5.358,5.727
101.556179,-573.586939,5.359,5.732
96.598422,-572.914050,5.361,5.738
91.640693,-572.241246,5.363,5.743
86.682992,-571.568559,5.364,5.749
81.725322,-570.896020,5.366,5.754
76.767682,-570.223661,5.368,5.760
71.810075,-569.551514,5.369,5.765
66.852501,-568.879610,5.371,5.771
61.894962,-568.207982,5.373,5.776
56.937457,-567.536653,5.374,5.781
51.979978,-566.865622,5.376,5.787
47.022514,-566.194876,5.377,5.792
42.065055,-565.524406,5.379,5.798
37.107589,-564.854201,5.381,5.803
32.150108,-564.184250,5.382,5.809
